,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
0,0.000115,https://api.spotify.com/v1/audio-analysis/2RzF4gZGV5EygllkBJdiqw,Brookes Brothers feat. Haz-Mat,0.225,274488,0.908,drum-and-bass,2RzF4gZGV5EygllkBJdiqw,1.18e-05,10,0.31,-3.529,1,0.0463,86.958,4,Loveline,https://api.spotify.com/v1/tracks/2RzF4gZGV5EygllkBJdiqw,audio_features,spotify:track:2RzF4gZGV5EygllkBJdiqw,0.331
1,0.000366,https://api.spotify.com/v1/audio-analysis/77FzokXK5WOYoYVZqlILOl,Fred V & Grafix feat. Reija Lee,0.339,346845,0.914,drum-and-bass,77FzokXK5WOYoYVZqlILOl,0.723,0,0.335,-4.118,1,0.1,173.962,4,Just A Thought,https://api.spotify.com/v1/tracks/77FzokXK5WOYoYVZqlILOl,audio_features,spotify:track:77FzokXK5WOYoYVZqlILOl,0.415
2,6.03e-05,https://api.spotify.com/v1/audio-analysis/5GAJyVAtlYsRq1zXVbe1Uv,Rollz,0.418,277029,0.949,drum-and-bass,5GAJyVAtlYsRq1zXVbe1Uv,0.842,0,0.229,-4.606,1,0.138,175.06,4,Triple A,https://api.spotify.com/v1/tracks/5GAJyVAtlYsRq1zXVbe1Uv,audio_features,spotify:track:5GAJyVAtlYsRq1zXVbe1Uv,0.0935
3,2.6e-05,https://api.spotify.com/v1/audio-analysis/291QZdiyxLZdFgd0Tpilnc,Metrik feat. Reija Lee,0.303,240000,0.995,drum-and-bass,291QZdiyxLZdFgd0Tpilnc,0.00424,0,0.13,-2.121,1,0.0526,173.971,4,Freefall,https://api.spotify.com/v1/tracks/291QZdiyxLZdFgd0Tpilnc,audio_features,spotify:track:291QZdiyxLZdFgd0Tpilnc,0.221
4,0.0024,https://api.spotify.com/v1/audio-analysis/1zgr42SsVORYzUEfWrYNdw,The Prototypes,0.451,295490,0.897,drum-and-bass,1zgr42SsVORYzUEfWrYNdw,0.143,10,0.477,-3.114,0,0.0493,173.977,4,Suffocate,https://api.spotify.com/v1/tracks/1zgr42SsVORYzUEfWrYNdw,audio_features,spotify:track:1zgr42SsVORYzUEfWrYNdw,0.122
5,0.00255,https://api.spotify.com/v1/audio-analysis/6Pm72BE4Ak1huZKx5kG2Tu,Dimension,0.395,287799,0.95,drum-and-bass,6Pm72BE4Ak1huZKx5kG2Tu,0.801,10,0.335,-3.575,0,0.041,173.991,4,Digital World,https://api.spotify.com/v1/tracks/6Pm72BE4Ak1huZKx5kG2Tu,audio_features,spotify:track:6Pm72BE4Ak1huZKx5kG2Tu,0.419
6,0.000288,https://api.spotify.com/v1/audio-analysis/6BB1uAqSPj1UtGqzJeoAge,Ayah Marar,0.376,168662,0.979,drum-and-bass,6BB1uAqSPj1UtGqzJeoAge,0.00302,10,0.737,-1.863,0,0.149,175.081,4,The Raver - Radio Edit,https://api.spotify.com/v1/tracks/6BB1uAqSPj1UtGqzJeoAge,audio_features,spotify:track:6BB1uAqSPj1UtGqzJeoAge,0.244
7,0.0126,https://api.spotify.com/v1/audio-analysis/1od9uCzHlrgdMLAQ9tx1zU,Matrix & Futurebound feat. Luke Bingham,0.44,246142,0.94,drum-and-bass,1od9uCzHlrgdMLAQ9tx1zU,7.47e-06,4,0.117,-3.657,1,0.0528,174.203,4,All I Know - Smash & Grab Mix,https://api.spotify.com/v1/tracks/1od9uCzHlrgdMLAQ9tx1zU,audio_features,spotify:track:1od9uCzHlrgdMLAQ9tx1zU,0.279
8,0.0159,https://api.spotify.com/v1/audio-analysis/6e7B9FzuZ6fcmjf8eNwNnn,Cyantific,0.477,290494,0.973,drum-and-bass,6e7B9FzuZ6fcmjf8eNwNnn,0.854,6,0.176,-1.358,0,0.104,174.03,4,Walking Away,https://api.spotify.com/v1/tracks/6e7B9FzuZ6fcmjf8eNwNnn,audio_features,spotify:track:6e7B9FzuZ6fcmjf8eNwNnn,0.356
9,1.9e-05,https://api.spotify.com/v1/audio-analysis/5EEnTnIrO0Tbja35qlBvgK,Sub Zero,0.612,320841,0.533,drum-and-bass,5EEnTnIrO0Tbja35qlBvgK,0.707,11,0.0708,-5.71,0,0.0405,175.002,4,Protection,https://api.spotify.com/v1/tracks/5EEnTnIrO0Tbja35qlBvgK,audio_features,spotify:track:5EEnTnIrO0Tbja35qlBvgK,0.0581
10,0.0133,https://api.spotify.com/v1/audio-analysis/1RSW2ltqNInsGxJHeyky4b,Total Science & S.P.Y feat. Riya & DāM Funk,0.518,358000,0.951,drum-and-bass,1RSW2ltqNInsGxJHeyky4b,0.0583,8,0.17,-4.023,0,0.0353,87.008,4,Piano Funk,https://api.spotify.com/v1/tracks/1RSW2ltqNInsGxJHeyky4b,audio_features,spotify:track:1RSW2ltqNInsGxJHeyky4b,0.375
11,0.00202,https://api.spotify.com/v1/audio-analysis/6uX6WZUzgIQ6a6diuUIWVg,Hybrid Minds feat. Katie's Ambition,0.426,317531,0.752,drum-and-bass,6uX6WZUzgIQ6a6diuUIWVg,0.319,7,0.13,-4.945,1,0.0394,175.008,4,Fade,https://api.spotify.com/v1/tracks/6uX6WZUzgIQ6a6diuUIWVg,audio_features,spotify:track:6uX6WZUzgIQ6a6diuUIWVg,0.0327
12,0.000327,https://api.spotify.com/v1/audio-analysis/335DUfdEUwqzDlaoI7oy1H,TC,0.813,271908,0.928,drum-and-bass,335DUfdEUwqzDlaoI7oy1H,0.25,2,0.25,-3.244,1,0.236,172.974,4,Do You Rock?,https://api.spotify.com/v1/tracks/335DUfdEUwqzDlaoI7oy1H,audio_features,spotify:track:335DUfdEUwqzDlaoI7oy1H,0.666
13,0.000473,https://api.spotify.com/v1/audio-analysis/79AvZdvn2jmeKQFmjM2lo5,Rene Lavice,0.633,253606,0.73,drum-and-bass,79AvZdvn2jmeKQFmjM2lo5,0.74,1,0.323,-5.423,0,0.0496,171.979,4,Headlock,https://api.spotify.com/v1/tracks/79AvZdvn2jmeKQFmjM2lo5,audio_features,spotify:track:79AvZdvn2jmeKQFmjM2lo5,0.776
14,0.00272,https://api.spotify.com/v1/audio-analysis/6DxJ7j1keQ61j3ybhtMnAQ,Calyx & TeeBee,0.536,305267,0.86,drum-and-bass,6DxJ7j1keQ61j3ybhtMnAQ,0.491,7,0.316,-5.572,1,0.179,172.02,4,Scavenger,https://api.spotify.com/v1/tracks/6DxJ7j1keQ61j3ybhtMnAQ,audio_features,spotify:track:6DxJ7j1keQ61j3ybhtMnAQ,0.362
