,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
0,0.609,https://api.spotify.com/v1/audio-analysis/4SnEYMZTtjuQ4LNUpgqM2K,NERO,0.148,113667,0.472,dubstep,4SnEYMZTtjuQ4LNUpgqM2K,0.972,5,0.209,-14.26,1,0.0501,104.884,3,2808,https://api.spotify.com/v1/tracks/4SnEYMZTtjuQ4LNUpgqM2K,audio_features,spotify:track:4SnEYMZTtjuQ4LNUpgqM2K,0.0942
1,0.000239,https://api.spotify.com/v1/audio-analysis/0c1I9eGgCUOHU78gaEp7qF,NERO,0.326,251653,0.845,dubstep,0c1I9eGgCUOHU78gaEp7qF,0.00781,1,0.292,-4.696,1,0.161,120.14,4,Doomsday,https://api.spotify.com/v1/tracks/0c1I9eGgCUOHU78gaEp7qF,audio_features,spotify:track:0c1I9eGgCUOHU78gaEp7qF,0.133
2,0.000111,https://api.spotify.com/v1/audio-analysis/7lP4SLXD1ZWp10huOfGozD,NERO,0.379,289667,0.955,dubstep,7lP4SLXD1ZWp10huOfGozD,0.27,1,0.202,-4.642,1,0.0547,174.042,4,My Eyes,https://api.spotify.com/v1/tracks/7lP4SLXD1ZWp10huOfGozD,audio_features,spotify:track:7lP4SLXD1ZWp10huOfGozD,0.0332
3,0.00669,https://api.spotify.com/v1/audio-analysis/0VSdYNTKyZZZRYSHDVb4YQ,NERO,0.255,284120,0.849,dubstep,0VSdYNTKyZZZRYSHDVb4YQ,1.21e-06,5,0.144,-4.52,0,0.0702,139.745,4,Guilt,https://api.spotify.com/v1/tracks/0VSdYNTKyZZZRYSHDVb4YQ,audio_features,spotify:track:0VSdYNTKyZZZRYSHDVb4YQ,0.154
4,3.56e-05,https://api.spotify.com/v1/audio-analysis/1Ts2AFMVmOpDnwcff18O3a,NERO,0.364,214760,0.813,dubstep,1Ts2AFMVmOpDnwcff18O3a,0.908,1,0.151,-3.868,1,0.0652,123.474,4,Fugue State,https://api.spotify.com/v1/tracks/1Ts2AFMVmOpDnwcff18O3a,audio_features,spotify:track:1Ts2AFMVmOpDnwcff18O3a,0.267
5,8.53e-05,https://api.spotify.com/v1/audio-analysis/6DEeUrq2VhjAj6KOhZcsu3,NERO,0.42,247520,0.925,dubstep,6DEeUrq2VhjAj6KOhZcsu3,0.874,0,0.152,-3.745,1,0.0381,144.047,4,Me And You,https://api.spotify.com/v1/tracks/6DEeUrq2VhjAj6KOhZcsu3,audio_features,spotify:track:6DEeUrq2VhjAj6KOhZcsu3,0.236
6,0.00128,https://api.spotify.com/v1/audio-analysis/2pdEafpOw3Jvddrm2by0NR,NERO,0.373,308173,0.734,dubstep,2pdEafpOw3Jvddrm2by0NR,0.356,7,0.0868,-5.707,0,0.0658,137.233,4,Innocence,https://api.spotify.com/v1/tracks/2pdEafpOw3Jvddrm2by0NR,audio_features,spotify:track:2pdEafpOw3Jvddrm2by0NR,0.0678
7,0.0493,https://api.spotify.com/v1/audio-analysis/1DS04vnvblo2Lhx3V7swhl,NERO,0.523,236640,0.47,dubstep,1DS04vnvblo2Lhx3V7swhl,0.293,7,0.305,-8.607,1,0.0442,140.045,4,In The Way,https://api.spotify.com/v1/tracks/1DS04vnvblo2Lhx3V7swhl,audio_features,spotify:track:1DS04vnvblo2Lhx3V7swhl,0.0359
8,0.00148,https://api.spotify.com/v1/audio-analysis/5xVdrHVFh8Uo0MrEVtwgJ1,NERO,0.339,355880,0.902,dubstep,5xVdrHVFh8Uo0MrEVtwgJ1,0.0684,0,0.174,-4.411,1,0.0606,104.937,3,Scorpions,https://api.spotify.com/v1/tracks/5xVdrHVFh8Uo0MrEVtwgJ1,audio_features,spotify:track:5xVdrHVFh8Uo0MrEVtwgJ1,0.0373
9,0.00345,https://api.spotify.com/v1/audio-analysis/7JJLUJwQCMv7i9lWDvTCLN,NERO,0.639,250347,0.893,dubstep,7JJLUJwQCMv7i9lWDvTCLN,0.0,1,0.177,-3.462,1,0.0694,140.188,4,Crush On You,https://api.spotify.com/v1/tracks/7JJLUJwQCMv7i9lWDvTCLN,audio_features,spotify:track:7JJLUJwQCMv7i9lWDvTCLN,0.187
10,0.00318,https://api.spotify.com/v1/audio-analysis/134KWDWvckZcxlRLGq0IYi,NERO,0.615,242840,0.794,dubstep,134KWDWvckZcxlRLGq0IYi,3.53e-05,10,0.624,-4.23,0,0.0909,128.085,4,Must Be The Feeling,https://api.spotify.com/v1/tracks/134KWDWvckZcxlRLGq0IYi,audio_features,spotify:track:134KWDWvckZcxlRLGq0IYi,0.548
11,0.000467,https://api.spotify.com/v1/audio-analysis/6bxq92mCKHtpDH2Q3Ffsim,NERO,0.45,284693,0.845,dubstep,6bxq92mCKHtpDH2Q3Ffsim,0.00199,9,0.161,-3.622,0,0.029,140.008,4,Reaching Out,https://api.spotify.com/v1/tracks/6bxq92mCKHtpDH2Q3Ffsim,audio_features,spotify:track:6bxq92mCKHtpDH2Q3Ffsim,0.0863
12,3.77e-05,https://api.spotify.com/v1/audio-analysis/5t8ANYm2ToLpjV7AxJ1U1N,NERO,0.484,257387,0.943,dubstep,5t8ANYm2ToLpjV7AxJ1U1N,0.00452,9,0.593,-4.364,0,0.0647,143.933,4,Promises,https://api.spotify.com/v1/tracks/5t8ANYm2ToLpjV7AxJ1U1N,audio_features,spotify:track:5t8ANYm2ToLpjV7AxJ1U1N,0.345
13,0.000606,https://api.spotify.com/v1/audio-analysis/72YnNlG0na7Op3AbSR2qXz,NERO,0.211,335507,0.742,dubstep,72YnNlG0na7Op3AbSR2qXz,0.231,6,0.119,-5.269,0,0.0932,86.839,4,Departure,https://api.spotify.com/v1/tracks/72YnNlG0na7Op3AbSR2qXz,audio_features,spotify:track:72YnNlG0na7Op3AbSR2qXz,0.0392
14,0.00107,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,DJ Snake,0.818,213733,0.799,dubstep,67awxiNHNyjMXhVgsHuIrs,0.128,1,0.057,-4.1,0,0.156,100.014,4,Turn Down for What,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,audio_features,spotify:track:67awxiNHNyjMXhVgsHuIrs,0.0815
