,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
0,0.0447,https://api.spotify.com/v1/audio-analysis/5AvvyeUnd0SAU5PyaLIhVY,Tom Hangs,0.631,189640,0.925,house,5AvvyeUnd0SAU5PyaLIhVY,0.0773,8,0.133,-4.123,0,0.0423,125.993,4,Blessed - Avicii Edit,https://api.spotify.com/v1/tracks/5AvvyeUnd0SAU5PyaLIhVY,audio_features,spotify:track:5AvvyeUnd0SAU5PyaLIhVY,0.414
1,0.0254,https://api.spotify.com/v1/audio-analysis/6WaBSLUShG3BpQUpXr0CVR,Tom Hangs,0.727,407467,0.938,house,6WaBSLUShG3BpQUpXr0CVR,0.671,8,0.0642,-5.318,0,0.0766,126.011,4,Blessed - Avicii Mix,https://api.spotify.com/v1/tracks/6WaBSLUShG3BpQUpXr0CVR,audio_features,spotify:track:6WaBSLUShG3BpQUpXr0CVR,0.695
2,0.15,https://api.spotify.com/v1/audio-analysis/5bYqZ85zQUisli2BQMnDPl,CAZZETTE,0.698,189732,0.854,house,5bYqZ85zQUisli2BQMnDPl,9.39e-06,3,0.0705,-3.428,1,0.058,127.957,4,Weapon (Radio Edit),https://api.spotify.com/v1/tracks/5bYqZ85zQUisli2BQMnDPl,audio_features,spotify:track:5bYqZ85zQUisli2BQMnDPl,0.81
3,0.000444,https://api.spotify.com/v1/audio-analysis/1AiijHH5wJNQ9Yf3quoCnW,CAZZETTE,0.799,347349,0.803,house,1AiijHH5wJNQ9Yf3quoCnW,0.462,11,0.151,-5.668,0,0.139,127.989,4,Endorphine (Instrumental Mix),https://api.spotify.com/v1/tracks/1AiijHH5wJNQ9Yf3quoCnW,audio_features,spotify:track:1AiijHH5wJNQ9Yf3quoCnW,0.639
4,0.00599,https://api.spotify.com/v1/audio-analysis/1dgXdQLDzRujGDkGsxSY1I,CAZZETTE,0.751,390479,0.577,house,1dgXdQLDzRujGDkGsxSY1I,0.00278,4,0.084,-5.073,0,0.0677,128.001,4,I Surrender (Extended Mix),https://api.spotify.com/v1/tracks/1dgXdQLDzRujGDkGsxSY1I,audio_features,spotify:track:1dgXdQLDzRujGDkGsxSY1I,0.187
5,0.0682,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,David Guetta,0.602,245053,0.796,house,0TDLuuLlV54CkRRUOahJb4,0.12,0,0.15,-3.657,0,0.103,126.06,4,Titanium (feat. Sia),https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,audio_features,spotify:track:0TDLuuLlV54CkRRUOahJb4,0.265
6,0.0488,https://api.spotify.com/v1/audio-analysis/6T27IN7Ai94BeDv6PPCmoC,David Guetta,0.704,199680,0.793,house,6T27IN7Ai94BeDv6PPCmoC,0.0,8,0.575,-2.266,1,0.0591,127.96,4,Turn Me On (feat. Nicki Minaj),https://api.spotify.com/v1/tracks/6T27IN7Ai94BeDv6PPCmoC,audio_features,spotify:track:6T27IN7Ai94BeDv6PPCmoC,0.412
7,0.0841,https://api.spotify.com/v1/audio-analysis/1SgdUjvppHnIp6L7DZSnwc,David Guetta,0.492,222500,0.857,house,1SgdUjvppHnIp6L7DZSnwc,7.82e-06,7,0.344,-2.634,1,0.0655,129.973,4,She Wolf (Falling to Pieces) (feat. Sia),https://api.spotify.com/v1/tracks/1SgdUjvppHnIp6L7DZSnwc,audio_features,spotify:track:1SgdUjvppHnIp6L7DZSnwc,0.393
8,0.227,https://api.spotify.com/v1/audio-analysis/3UN6cIn3VIyg0z1LCuFSum,David Guetta,0.608,208133,0.614,house,3UN6cIn3VIyg0z1LCuFSum,4.06e-06,2,0.157,-3.727,1,0.0285,127.884,4,Without You (feat. Usher),https://api.spotify.com/v1/tracks/3UN6cIn3VIyg0z1LCuFSum,audio_features,spotify:track:3UN6cIn3VIyg0z1LCuFSum,0.402
9,0.0463,https://api.spotify.com/v1/audio-analysis/4f3uZW3Wc1uO2cN4WJs5nu,David Guetta,0.67,209533,0.939,house,4f3uZW3Wc1uO2cN4WJs5nu,1.1e-06,9,0.335,-2.06,1,0.0427,127.946,4,I Can Only Imagine (feat. Chris Brown & Lil Wayne),https://api.spotify.com/v1/tracks/4f3uZW3Wc1uO2cN4WJs5nu,audio_features,spotify:track:4f3uZW3Wc1uO2cN4WJs5nu,0.264
