acousticness,analysis_url,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.00216,https://api.spotify.com/v1/audio-analysis/0yYhAqrI2t4zw9HbpUrMeY,0.796,247493,0.864,dubstep,0yYhAqrI2t4zw9HbpUrMeY,0.628,7,0.778,-5.598,1,0.0495,139.972,4,https://api.spotify.com/v1/tracks/0yYhAqrI2t4zw9HbpUrMeY,audio_features,spotify:track:0yYhAqrI2t4zw9HbpUrMeY,0.74
0.000148,https://api.spotify.com/v1/audio-analysis/2RUgUcKyAFLugNRy3G01wf,0.891,250286,0.78,dubstep,2RUgUcKyAFLugNRy3G01wf,0.0681,11,0.227,-6.847,1,0.291,139.944,4,https://api.spotify.com/v1/tracks/2RUgUcKyAFLugNRy3G01wf,audio_features,spotify:track:2RUgUcKyAFLugNRy3G01wf,0.622
0.00224,https://api.spotify.com/v1/audio-analysis/5yQmKyKEdjtxFDPIK9mFLn,0.513,361875,0.819,dubstep,5yQmKyKEdjtxFDPIK9mFLn,0.153,5,0.058,-5.372,0,0.0454,140.055,4,https://api.spotify.com/v1/tracks/5yQmKyKEdjtxFDPIK9mFLn,audio_features,spotify:track:5yQmKyKEdjtxFDPIK9mFLn,0.449
0.0704,https://api.spotify.com/v1/audio-analysis/1dQPIX6upFkwDI6ms2k52J,0.373,237532,0.629,dubstep,1dQPIX6upFkwDI6ms2k52J,1e-06,9,0.0721,-4.752,0,0.0465,69.483,4,https://api.spotify.com/v1/tracks/1dQPIX6upFkwDI6ms2k52J,audio_features,spotify:track:1dQPIX6upFkwDI6ms2k52J,0.225
0.00393,https://api.spotify.com/v1/audio-analysis/3GLXFIHck82iqnWqhnm03n,0.581,315862,0.799,dubstep,3GLXFIHck82iqnWqhnm03n,0.766,7,0.0791,-8.764,1,0.0318,139.994,4,https://api.spotify.com/v1/tracks/3GLXFIHck82iqnWqhnm03n,audio_features,spotify:track:3GLXFIHck82iqnWqhnm03n,0.339
0.00168,https://api.spotify.com/v1/audio-analysis/0Z2oVEEUev5Zc31YDuPQz4,0.66,365070,0.788,dubstep,0Z2oVEEUev5Zc31YDuPQz4,3.26e-05,11,0.36,-6.388,0,0.0356,141.913,4,https://api.spotify.com/v1/tracks/0Z2oVEEUev5Zc31YDuPQz4,audio_features,spotify:track:0Z2oVEEUev5Zc31YDuPQz4,0.354
0.00422,https://api.spotify.com/v1/audio-analysis/3Hwrgak91wAycSfTVd8mqn,0.614,281143,0.544,dubstep,3Hwrgak91wAycSfTVd8mqn,0.19,10,0.0855,-7.063,0,0.0351,140.109,4,https://api.spotify.com/v1/tracks/3Hwrgak91wAycSfTVd8mqn,audio_features,spotify:track:3Hwrgak91wAycSfTVd8mqn,0.225
0.00497,https://api.spotify.com/v1/audio-analysis/17HJdRFrXAgBylOXpKSv2G,0.552,308571,0.456,dubstep,17HJdRFrXAgBylOXpKSv2G,0.224,9,0.0595,-8.723,0,0.0343,140.052,4,https://api.spotify.com/v1/tracks/17HJdRFrXAgBylOXpKSv2G,audio_features,spotify:track:17HJdRFrXAgBylOXpKSv2G,0.0874
0.00206,https://api.spotify.com/v1/audio-analysis/2QNmH8xLdi7hQu6YkpVgwL,0.527,284767,0.837,dubstep,2QNmH8xLdi7hQu6YkpVgwL,0.384,11,0.103,-5.535,0,0.0303,108.743,3,https://api.spotify.com/v1/tracks/2QNmH8xLdi7hQu6YkpVgwL,audio_features,spotify:track:2QNmH8xLdi7hQu6YkpVgwL,0.103
1.29e-05,https://api.spotify.com/v1/audio-analysis/1LOrpJNa67WpBaBruo7Wja,0.255,303866,0.853,dubstep,1LOrpJNa67WpBaBruo7Wja,0.608,2,0.197,-5.166,1,0.186,175.208,4,https://api.spotify.com/v1/tracks/1LOrpJNa67WpBaBruo7Wja,audio_features,spotify:track:1LOrpJNa67WpBaBruo7Wja,0.162
0.000997,https://api.spotify.com/v1/audio-analysis/2EQhNdnP2LT96NnkkKkm0N,0.764,396882,0.678,dubstep,2EQhNdnP2LT96NnkkKkm0N,0.05,6,0.108,-6.631,1,0.177,84.984,4,https://api.spotify.com/v1/tracks/2EQhNdnP2LT96NnkkKkm0N,audio_features,spotify:track:2EQhNdnP2LT96NnkkKkm0N,0.0605
4.87e-05,https://api.spotify.com/v1/audio-analysis/3OTeCbE7jdh0b6f9erM3YN,0.359,289006,0.933,dubstep,3OTeCbE7jdh0b6f9erM3YN,0.893,10,0.26,-3.951,1,0.0374,173.972,4,https://api.spotify.com/v1/tracks/3OTeCbE7jdh0b6f9erM3YN,audio_features,spotify:track:3OTeCbE7jdh0b6f9erM3YN,0.13
0.0012,https://api.spotify.com/v1/audio-analysis/3FUZpoj9VV0sgc8RqbS3xQ,0.605,200787,0.92,dubstep,3FUZpoj9VV0sgc8RqbS3xQ,0.000596,4,0.483,-2.298,0,0.0713,174.974,4,https://api.spotify.com/v1/tracks/3FUZpoj9VV0sgc8RqbS3xQ,audio_features,spotify:track:3FUZpoj9VV0sgc8RqbS3xQ,0.219
0.00197,https://api.spotify.com/v1/audio-analysis/7dA9931tq3K0rN5dpI0twr,0.594,230233,0.956,dubstep,7dA9931tq3K0rN5dpI0twr,0.143,0,0.0948,-2.6,1,0.208,171.919,4,https://api.spotify.com/v1/tracks/7dA9931tq3K0rN5dpI0twr,audio_features,spotify:track:7dA9931tq3K0rN5dpI0twr,0.293
0.00425,https://api.spotify.com/v1/audio-analysis/6sZmgTsyiF9ObnEniMISIc,0.78,371000,0.763,dubstep,6sZmgTsyiF9ObnEniMISIc,0.614,6,0.651,-3.908,1,0.0631,128.018,4,https://api.spotify.com/v1/tracks/6sZmgTsyiF9ObnEniMISIc,audio_features,spotify:track:6sZmgTsyiF9ObnEniMISIc,0.351
0.015,https://api.spotify.com/v1/audio-analysis/7mfI0rEPa99nLFyzr3Y9J0,0.422,295043,0.907,dubstep,7mfI0rEPa99nLFyzr3Y9J0,0.249,8,0.065,-3.707,0,0.188,108.414,3,https://api.spotify.com/v1/tracks/7mfI0rEPa99nLFyzr3Y9J0,audio_features,spotify:track:7mfI0rEPa99nLFyzr3Y9J0,0.544
0.000112,https://api.spotify.com/v1/audio-analysis/7bkrejP6EhQFgrRUobPM75,0.498,288077,0.981,dubstep,7bkrejP6EhQFgrRUobPM75,0.297,1,0.863,-4.202,1,0.0542,140.015,4,https://api.spotify.com/v1/tracks/7bkrejP6EhQFgrRUobPM75,audio_features,spotify:track:7bkrejP6EhQFgrRUobPM75,0.373
