,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
0,0.592,https://api.spotify.com/v1/audio-analysis/7fjIjO3BxVZb3rJgtTrrAG,Rave Allstars,0.677,15347,0.642,techno,7fjIjO3BxVZb3rJgtTrrAG,9.52e-06,7,0.108,-9.956,1,0.778,90.572,4,Intro,https://api.spotify.com/v1/tracks/7fjIjO3BxVZb3rJgtTrrAG,audio_features,spotify:track:7fjIjO3BxVZb3rJgtTrrAG,0.663
1,0.237,https://api.spotify.com/v1/audio-analysis/23OuzXQo66aTANpJksTof9,Rave Allstars,0.702,176040,0.963,techno,23OuzXQo66aTANpJksTof9,0.836,10,0.0751,-6.673,1,0.0437,144.534,4,Wonderful Days 2006 - Radio Mix,https://api.spotify.com/v1/tracks/23OuzXQo66aTANpJksTof9,audio_features,spotify:track:23OuzXQo66aTANpJksTof9,0.346
2,0.0013,https://api.spotify.com/v1/audio-analysis/0iOhzU0nrFgY4L09JCS0lo,Rave Allstars,0.789,172333,0.96,techno,0iOhzU0nrFgY4L09JCS0lo,0.632,11,0.0782,-6.942,0,0.0531,139.997,4,Raving With The Best - Club Cut,https://api.spotify.com/v1/tracks/0iOhzU0nrFgY4L09JCS0lo,audio_features,spotify:track:0iOhzU0nrFgY4L09JCS0lo,0.757
3,0.0114,https://api.spotify.com/v1/audio-analysis/72ZS1fM1JC2gPK1JfTfPGy,Rave Allstars,0.699,197667,0.991,techno,72ZS1fM1JC2gPK1JfTfPGy,0.0,11,0.387,-4.934,0,0.122,141.957,4,The Logical Song - Radio Edit,https://api.spotify.com/v1/tracks/72ZS1fM1JC2gPK1JfTfPGy,audio_features,spotify:track:72ZS1fM1JC2gPK1JfTfPGy,0.464
4,0.0612,https://api.spotify.com/v1/audio-analysis/0xXbSqC1U1lBbi9srgA64i,Rave Allstars,0.718,219773,0.983,techno,0xXbSqC1U1lBbi9srgA64i,0.917,9,0.0866,-6.381,0,0.0822,140.008,4,Shut The Fuck Up,https://api.spotify.com/v1/tracks/0xXbSqC1U1lBbi9srgA64i,audio_features,spotify:track:0xXbSqC1U1lBbi9srgA64i,0.283
5,0.978,https://api.spotify.com/v1/audio-analysis/5k65wIVcBELewHaOkoqjpZ,Rave Allstars,0.0,5600,0.134,techno,5k65wIVcBELewHaOkoqjpZ,0.000732,1,0.0,-12.276,1,0.0,0.0,0,To All The Ravers,https://api.spotify.com/v1/tracks/5k65wIVcBELewHaOkoqjpZ,audio_features,spotify:track:5k65wIVcBELewHaOkoqjpZ,0.0
6,0.00378,https://api.spotify.com/v1/audio-analysis/4y8rvcZNjR6PG2KnErNb6v,Rave Allstars,0.648,192200,0.968,techno,4y8rvcZNjR6PG2KnErNb6v,0.0031,6,0.215,-5.122,1,0.107,142.002,4,Hardcore Vibes - Club Cut,https://api.spotify.com/v1/tracks/4y8rvcZNjR6PG2KnErNb6v,audio_features,spotify:track:4y8rvcZNjR6PG2KnErNb6v,0.131
7,0.0102,https://api.spotify.com/v1/audio-analysis/4v1GkzjPlgWWg7BtcfncYz,Rave Allstars,0.614,201427,0.964,techno,4v1GkzjPlgWWg7BtcfncYz,0.901,0,0.115,-5.313,1,0.0422,139.966,4,Ping Pong 2006 - Rave Allstars Vs. Object One,https://api.spotify.com/v1/tracks/4v1GkzjPlgWWg7BtcfncYz,audio_features,spotify:track:4v1GkzjPlgWWg7BtcfncYz,0.578
8,0.00599,https://api.spotify.com/v1/audio-analysis/0h8xyMNkxxhHhVVtPvLOWI,Rave Allstars,0.674,216053,0.957,techno,0h8xyMNkxxhHhVVtPvLOWI,0.0964,0,0.356,-6.704,1,0.0534,142.005,4,More Than Words - Radio Edit,https://api.spotify.com/v1/tracks/0h8xyMNkxxhHhVVtPvLOWI,audio_features,spotify:track:0h8xyMNkxxhHhVVtPvLOWI,0.389
9,0.0832,https://api.spotify.com/v1/audio-analysis/4CrRHGgns960C9y1hmgYsI,Rave Allstars,0.766,156600,0.977,techno,4CrRHGgns960C9y1hmgYsI,0.334,5,0.288,-6.141,1,0.18,141.98,4,Bitte Anschnallen - Charter Edit,https://api.spotify.com/v1/tracks/4CrRHGgns960C9y1hmgYsI,audio_features,spotify:track:4CrRHGgns960C9y1hmgYsI,0.498
10,0.19,https://api.spotify.com/v1/audio-analysis/2a9Vy7BNwIXujJMK57jgik,Rave Allstars,0.0,12560,0.19,techno,2a9Vy7BNwIXujJMK57jgik,0.0,0,0.168,-16.878,1,0.0,0.0,0,Der Kleine Rave Allstar,https://api.spotify.com/v1/tracks/2a9Vy7BNwIXujJMK57jgik,audio_features,spotify:track:2a9Vy7BNwIXujJMK57jgik,0.0
11,0.0581,https://api.spotify.com/v1/audio-analysis/6Sz1e4sXdiIEzUy69eaPKi,Rave Allstars,0.595,208107,0.971,techno,6Sz1e4sXdiIEzUy69eaPKi,0.0132,11,0.1,-5.6,1,0.0583,146.031,4,Hardcore Feelings - Radio Edit,https://api.spotify.com/v1/tracks/6Sz1e4sXdiIEzUy69eaPKi,audio_features,spotify:track:6Sz1e4sXdiIEzUy69eaPKi,0.487
12,0.00941,https://api.spotify.com/v1/audio-analysis/6NlNkZe3mt0tvlFbt6vysg,Rave Allstars,0.677,171653,0.967,techno,6NlNkZe3mt0tvlFbt6vysg,0.144,10,0.189,-6.669,0,0.0774,141.967,4,"Ich Brauch Sound, Ey!!! - Radio Edit",https://api.spotify.com/v1/tracks/6NlNkZe3mt0tvlFbt6vysg,audio_features,spotify:track:6NlNkZe3mt0tvlFbt6vysg,0.306
13,0.00134,https://api.spotify.com/v1/audio-analysis/6xz5enJyCIgwjlIMnqTN7I,Rave Allstars,0.682,212013,0.993,techno,6xz5enJyCIgwjlIMnqTN7I,0.846,2,0.172,-8.675,1,0.202,141.969,4,Achtung Spass! - Club Cut,https://api.spotify.com/v1/tracks/6xz5enJyCIgwjlIMnqTN7I,audio_features,spotify:track:6xz5enJyCIgwjlIMnqTN7I,0.0373
14,0.0248,https://api.spotify.com/v1/audio-analysis/1uCNRrd0oMAyiPa6O4r3EC,Rave Allstars,0.771,217507,0.96,techno,1uCNRrd0oMAyiPa6O4r3EC,0.726,9,0.0968,-4.625,0,0.0613,141.992,4,I Need Your Love 2001 - 2001 Reconstructing Radio Edit,https://api.spotify.com/v1/tracks/1uCNRrd0oMAyiPa6O4r3EC,audio_features,spotify:track:1uCNRrd0oMAyiPa6O4r3EC,0.397
15,0.000645,https://api.spotify.com/v1/audio-analysis/0mA4uCWLydeRctbLeDk3zk,Rave Allstars,0.812,209147,0.992,techno,0mA4uCWLydeRctbLeDk3zk,0.428,11,0.593,-6.478,0,0.136,142.009,4,Satt !!! - Club Cut,https://api.spotify.com/v1/tracks/0mA4uCWLydeRctbLeDk3zk,audio_features,spotify:track:0mA4uCWLydeRctbLeDk3zk,0.113
