,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,title,track_href,type,uri,valence
0,0.00955,https://api.spotify.com/v1/audio-analysis/5RScucFoUuNzhLWwGWy05b,Armin van Buuren,0.642,527787,0.832,trance,5RScucFoUuNzhLWwGWy05b,0.048,5,0.124,-7.136,0,0.0499,135.101,4,Intense,https://api.spotify.com/v1/tracks/5RScucFoUuNzhLWwGWy05b,audio_features,spotify:track:5RScucFoUuNzhLWwGWy05b,0.114
1,0.0391,https://api.spotify.com/v1/audio-analysis/5GjnIpUlLGEIYk052ISOw9,Armin van Buuren,0.552,204360,0.831,trance,5GjnIpUlLGEIYk052ISOw9,2.93e-06,8,0.0632,-5.217,1,0.0298,129.889,5,This Is What It Feels Like,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,audio_features,spotify:track:5GjnIpUlLGEIYk052ISOw9,0.144
2,0.05,https://api.spotify.com/v1/audio-analysis/3lJbKB0A7wo8HbtlsQep76,Armin van Buuren,0.64,368640,0.754,trance,3lJbKB0A7wo8HbtlsQep76,0.0131,8,0.0754,-6.977,1,0.0394,128.001,4,Beautiful Life,https://api.spotify.com/v1/tracks/3lJbKB0A7wo8HbtlsQep76,audio_features,spotify:track:3lJbKB0A7wo8HbtlsQep76,0.456
3,0.149,https://api.spotify.com/v1/audio-analysis/57CtYFG1TD6AV4xlUa8dxp,Armin van Buuren,0.676,261813,0.913,trance,57CtYFG1TD6AV4xlUa8dxp,0.595,1,0.514,-5.838,1,0.05,129.994,4,Waiting For The Night,https://api.spotify.com/v1/tracks/57CtYFG1TD6AV4xlUa8dxp,audio_features,spotify:track:57CtYFG1TD6AV4xlUa8dxp,0.364
4,0.00333,https://api.spotify.com/v1/audio-analysis/4NPzTwu2qi5CfkxPXy7fIO,Armin van Buuren,0.618,391947,0.968,trance,4NPzTwu2qi5CfkxPXy7fIO,0.911,11,0.103,-5.898,1,0.04,130.007,4,Pulsar,https://api.spotify.com/v1/tracks/4NPzTwu2qi5CfkxPXy7fIO,audio_features,spotify:track:4NPzTwu2qi5CfkxPXy7fIO,0.0504
5,0.547,https://api.spotify.com/v1/audio-analysis/7aM2uzoy4tcaELdvGLtsDZ,Armin van Buuren,0.611,236095,0.592,trance,7aM2uzoy4tcaELdvGLtsDZ,0.00144,8,0.123,-8.235,0,0.0392,131.862,4,Sound Of The Drums,https://api.spotify.com/v1/tracks/7aM2uzoy4tcaELdvGLtsDZ,audio_features,spotify:track:7aM2uzoy4tcaELdvGLtsDZ,0.327
6,0.00592,https://api.spotify.com/v1/audio-analysis/2N2Mp4HjnYcmrZ2YqrKedy,Armin van Buuren,0.553,244067,0.861,trance,2N2Mp4HjnYcmrZ2YqrKedy,0.00144,10,0.107,-6.526,1,0.039,127.966,4,Alone,https://api.spotify.com/v1/tracks/2N2Mp4HjnYcmrZ2YqrKedy,audio_features,spotify:track:2N2Mp4HjnYcmrZ2YqrKedy,0.375
7,0.15,https://api.spotify.com/v1/audio-analysis/5FppOG2iMfnIuMY23qRUs7,Armin van Buuren,0.648,322400,0.848,trance,5FppOG2iMfnIuMY23qRUs7,0.145,1,0.036,-7.465,1,0.063,129.983,4,Turn This Love Around,https://api.spotify.com/v1/tracks/5FppOG2iMfnIuMY23qRUs7,audio_features,spotify:track:5FppOG2iMfnIuMY23qRUs7,0.683
8,0.0101,https://api.spotify.com/v1/audio-analysis/1O2GGgCCe7Qoo3h4XWVAGi,Armin van Buuren,0.616,395533,0.88,trance,1O2GGgCCe7Qoo3h4XWVAGi,0.638,0,0.27,-7.213,1,0.0468,134.002,4,Won't Let You Go,https://api.spotify.com/v1/tracks/1O2GGgCCe7Qoo3h4XWVAGi,audio_features,spotify:track:1O2GGgCCe7Qoo3h4XWVAGi,0.122
9,0.938,https://api.spotify.com/v1/audio-analysis/1qYSIeRpf8r1DaGKsXqTpn,Armin van Buuren,0.103,56613,0.122,trance,1qYSIeRpf8r1DaGKsXqTpn,0.938,0,0.0965,-27.569,1,0.0368,178.24,3,In 10 Years From Now,https://api.spotify.com/v1/tracks/1qYSIeRpf8r1DaGKsXqTpn,audio_features,spotify:track:1qYSIeRpf8r1DaGKsXqTpn,0.0514
10,0.00845,https://api.spotify.com/v1/audio-analysis/5dlmVFEhswX1I0704LlyiX,Armin van Buuren,0.434,387320,0.843,trance,5dlmVFEhswX1I0704LlyiX,0.935,11,0.329,-6.983,0,0.0437,132.01,3,Last Stop Before Heaven,https://api.spotify.com/v1/tracks/5dlmVFEhswX1I0704LlyiX,audio_features,spotify:track:5dlmVFEhswX1I0704LlyiX,0.0426
